period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0064,-0.0064,0.4152,0.0127,0.536,-0.1621
Weekly,0.013,0.0129,0.4152,0.0309,0.6346,-0.1621
Biweekly,-0.0111,-0.0111,0.4152,0.0457,0.6154,-0.1555
Monthly,-0.0064,-0.0064,0.3464,0.0581,0.5833,-0.0635
