period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0082,-0.0082,0.4749,0.0203,0.52,-0.1713
Weekly,0.0625,0.0606,0.5848,0.0473,0.6538,-0.1713
Biweekly,0.0784,0.0754,0.5848,0.0788,0.6923,-0.1528
Monthly,0.0218,0.0216,0.3617,0.0954,0.75,-0.1254
