period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0084,0.0084,-0.0215,0.0142,0.5141,-0.2038
Weekly,0.0084,0.0084,-0.0834,0.019,0.4808,-0.1971
Biweekly,0.0264,0.0261,-0.0834,0.036,0.5,-0.1971
Monthly,0.0036,0.0036,-0.1155,0.0416,0.3333,-0.1676
