period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0181,-0.0183,0.1926,0.015,0.516,-0.1657
Weekly,-0.0181,-0.0183,0.2563,0.0235,0.4808,-0.1657
Biweekly,-0.0601,-0.062,0.2563,0.0299,0.5385,-0.1657
Monthly,-0.0647,-0.0669,0.1489,0.1056,0.4167,-0.1657
