period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0462,-0.0473,-0.2132,0.0234,0.472,-0.3992
Weekly,-0.0462,-0.0473,-0.2091,0.0497,0.4615,-0.397
Biweekly,-0.103,-0.1087,-0.2091,0.0695,0.4615,-0.3768
Monthly,-0.0658,-0.068,-0.19,0.1363,0.5833,-0.3575
