period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0064,0.0064,0.1769,0.0112,0.5341,-0.1148
Weekly,0.0064,0.0064,0.1034,0.015,0.4808,-0.0998
Biweekly,0.0279,0.0275,0.1034,0.0333,0.5769,-0.0986
Monthly,0.0049,0.0049,0.0709,0.0543,0.5833,-0.1078
