period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0312,0.0307,0.0239,0.0165,0.49,-0.3321
Weekly,0.0312,0.0307,-0.0347,0.0429,0.5,-0.2797
Biweekly,-0.0279,-0.0283,-0.0347,0.0411,0.3077,-0.2714
Monthly,-0.0232,-0.0235,0.0605,0.2278,0.25,-0.2324
