period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.01,0.0099,0.5752,0.0256,0.508,-0.1494
Weekly,-0.0243,-0.0246,0.5752,0.059,0.5962,-0.1462
Biweekly,-0.0638,-0.0659,0.5752,0.0793,0.6154,-0.1433
Monthly,0.01,0.0099,0.3238,0.0398,0.5833,-0.0586
