period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0078,0.0077,0.0361,0.0151,0.5181,-0.1903
Weekly,0.0078,0.0077,-0.0056,0.0338,0.5577,-0.1879
Biweekly,0.0224,0.0222,-0.0056,0.0234,0.5,-0.1618
Monthly,-0.0019,-0.002,-0.0235,0.0535,0.4167,-0.154
