period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0112,0.0111,0.3208,0.0156,0.5221,-0.1196
Weekly,0.0112,0.0111,0.3033,0.0188,0.6154,-0.1182
Biweekly,0.0471,0.046,0.3033,0.0681,0.6923,-0.0924
Monthly,0.0111,0.011,0.2763,0.0495,0.8333,-0.0472
