Date,Open,High,Low,Close,Volume,ret_1d,log_ret_1d,eq,cum_ret,ret_7d,ret_14d,ret_30d,log_ret_7d,log_ret_14d,log_ret_30d,roll_max,dd,vol_7d,vol_14d,vol_30d,up,down,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-04-07 04:00:00,146.2905,157.9134,140.7553,149.2859,18337200,-0.0519,-0.0533,0.9481,-0.0519,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,0.9481,0.0,0.0806,0.0588,0.0437,0,0,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,
2025-04-08 04:00:00,151.9517,154.1619,138.9231,141.5405,13902800,-0.0519,-0.0533,0.9481,-0.0519,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,0.9481,0.0,0.0806,0.0588,0.0437,0,1,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,-0.05188299765751481
2025-04-09 04:00:00,140.7262,167.5298,139.8343,164.3114,21578500,0.1609,0.1492,1.1006,0.1006,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,1.1006,0.0,0.0806,0.0588,0.0437,1,0,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,0.1608790416877146
2025-04-10 04:00:00,155.868,157.9425,145.4277,151.8063,16019500,-0.0761,-0.0792,1.0169,0.0169,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,1.1006,-0.0761,0.0806,0.0588,0.0437,0,1,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,-0.07610610097656034
2025-04-11 04:00:00,139.592,145.292,135.666,143.0818,21113300,-0.0575,-0.0592,0.9584,-0.0416,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,1.1006,-0.1292,0.0806,0.0588,0.0437,0,1,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,-0.05747126436781613
2025-04-14 04:00:00,146.4165,148.8884,144.5747,146.3583,10356600,0.0229,0.0226,0.9804,-0.0196,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,1.1006,-0.1093,0.0806,0.0588,0.0437,1,0,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,0.022899488264755075
2025-04-15 04:00:00,146.7849,148.0257,145.2629,146.5522,6958900,0.0013,0.0013,0.9817,-0.0183,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,1.1006,-0.1081,0.0806,0.0588,0.0437,1,0,148.9909142857143,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,0.0013248309115367896
2025-04-16 04:00:00,142.7231,145.1466,138.1961,142.0639,10862500,-0.0306,-0.0311,0.9516,-0.0484,-0.0484,0.0548,0.2358,-0.0496,0.0534,0.2118,1.1006,-0.1354,0.0806,0.0588,0.0437,0,1,147.9592,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,-0.03062594761457016
2025-04-17 04:00:00,142.8104,145.5925,141.4532,143.8961,5739200,0.0129,0.0128,0.9639,-0.0361,0.0166,0.0548,0.2358,0.0165,0.0534,0.2118,1.1006,-0.1242,0.0779,0.0588,0.0437,1,0,148.29571428571427,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,0.012897013245448008
2025-04-21 04:00:00,141.0073,142.2481,138.2736,141.1527,8275000,-0.0191,-0.0192,0.9455,-0.0545,-0.1409,0.0548,0.2358,-0.1519,0.0534,0.2118,1.1006,-0.1409,0.0366,0.0588,0.0437,0,1,144.98732857142858,154.041924,183.47076464646466,60.47020759278622,6.832414606895213,8.073018375515222,0.0,0.049814717420825105,-0.019065144920536237
