period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0183,0.0181,1.0461,0.0244,0.5783,-0.1476
Weekly,0.0183,0.0181,0.9535,0.0386,0.6731,-0.1386
Biweekly,0.0929,0.0889,0.9535,0.0567,0.6923,-0.105
Monthly,0.0348,0.0342,0.7609,0.0362,0.75,-0.0508
