period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0062,0.0062,0.3758,0.0219,0.528,-0.2121
Weekly,0.0673,0.0651,0.4459,0.0624,0.5769,-0.2121
Biweekly,0.0757,0.073,0.4459,0.0819,0.6538,-0.1977
Monthly,0.014,0.0139,0.3578,0.0528,0.6667,-0.0826
