Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility
2025-07-11,0.1614,0.1772,0.1588,0.1614,1295745.0,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-12,0.1613,0.1631,0.1531,0.1597,487189.4,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-13,0.16,0.1725,0.1583,0.1621,581687.9,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-14,0.1621,0.1727,0.1601,0.1622,822453.8,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-15,0.1621,0.1719,0.1571,0.1709,698973.3,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-16,0.1705,0.1761,0.1645,0.17,382285.4,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-17,0.1694,0.1723,0.1596,0.165,512313.4,0.16447142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-18,0.1651,0.1816,0.1629,0.1671,1449102.4,0.16528571428571429,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-19,0.1665,0.169,0.1614,0.1675,395763.1,0.16640000000000002,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-20,0.1677,0.1794,0.1652,0.1752,361502.3,0.16827142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-21,0.1741,0.1813,0.171,0.1783,719625.9,0.17057142857142857,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-22,0.1779,0.1859,0.1652,0.1823,788901.5,0.1722,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-23,0.1812,0.1942,0.1708,0.1747,2780452.1,0.17287142857142856,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-24,0.1734,0.2153,0.1629,0.2049,5295604.1,0.17857142857142858,0.168352,0.13824343434343433,81.37191205524246,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-25,0.2042,0.2177,0.1757,0.1923,2183667.7,0.18217142857142857,0.168352,0.13824343434343433,66.42099994303373,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-26,0.1922,0.1952,0.185,0.1868,787313.5,0.18492857142857141,0.168352,0.13824343434343433,61.14023206478559,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-27,0.1863,0.1902,0.1813,0.1839,1154464.9,0.18617142857142857,0.168352,0.13824343434343433,58.499270325643295,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-28,0.1843,0.2,0.1768,0.1784,2444203.6,0.18618571428571432,0.168352,0.13824343434343433,53.75666766229881,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-29,0.1781,0.1844,0.165,0.1697,1026802.9,0.1843857142857143,0.168352,0.13824343434343433,47.23351154653644,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-30,0.1694,0.1721,0.1547,0.1624,584055.3,0.18262857142857142,0.168352,0.13824343434343433,42.566085581305856,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-07-31,0.1624,0.1688,0.151,0.1515,1238859.8,0.17500000000000002,0.168352,0.13824343434343433,36.72982836553597,-0.0058946287264331765,-0.0019008299268057445,0.0,0.052925954285801144
2025-08-01,0.151,0.1525,0.1448,0.1489,635322.1,0.1688,0.168352,0.13824343434343433,35.480179354104834,-0.0058946287264331765,-0.0019008299268057445,0.0,0.05300357481596111
2025-08-02,0.1488,0.1567,0.1382,0.1422,483733.3,0.16242857142857142,0.168352,0.13824343434343433,32.419218145234495,-0.0058946287264331765,-0.0019008299268057445,0.0,0.053670172791735464
2025-08-03,0.1427,0.1453,0.1407,0.1426,107342.8,0.15652857142857143,0.168352,0.13824343434343433,32.79200691291628,-0.0058946287264331765,-0.0019008299268057445,0.0,0.053685010099839836
2025-08-04,0.1426,0.1502,0.1416,0.1488,210122.0,0.15229999999999996,0.168352,0.13824343434343433,38.458615917754614,-0.0058946287264331765,-0.0019008299268057445,0.0,0.05314513241246197
2025-08-05,0.1483,0.1588,0.1405,0.1447,1185889.1,0.1487285714285714,0.167684,0.13824343434343433,36.28016194721875,-0.0058946287264331765,-0.0019008299268057445,0.0,0.053370320862677435
2025-08-06,0.1442,0.1456,0.1391,0.1425,345503.9,0.14588571428571426,0.16699599999999998,0.13824343434343433,35.13026307743917,-0.006622824716590758,-0.0019008299268057445,0.0,0.05314679653194047
2025-08-07,0.1422,0.1716,0.1422,0.1663,1906507.2,0.148,0.167164,0.13824343434343433,52.624152639588786,-0.005219299355983864,-0.0019008299268057445,23.979582551606388,0.06572320955554413
2025-08-08,0.1647,0.1791,0.1583,0.1669,1703017.2,0.15057142857142855,0.167352,0.13824343434343433,52.96849629458175,-0.004012328781651031,-0.0019008299268057445,25.037713988023945,0.0657244626465481
2025-08-09,0.1653,0.1946,0.164,0.1833,2832980.2,0.15644285714285713,0.167848,0.13824343434343433,61.25746357280783,-0.0017127099125110457,-0.0019008299268057445,26.638596126538808,0.06855565988978977
2025-08-10,0.1833,0.1897,0.177,0.1812,546194.2,0.16195714285714286,0.168296,0.13824343434343433,59.80400727986324,-5.9017523156235097e-05,-0.0019008299268057445,28.12512954087404,0.06856706241837239
2025-08-11,0.1817,0.1891,0.1592,0.1661,1539563.3,0.16442857142857142,0.16834,0.13824343434343433,50.521567891258705,3.272457702951925e-05,-0.0019008299268057445,27.83602713516645,0.07101614423708595
2025-08-12,0.1658,0.1804,0.1643,0.1704,2334034.1,0.16809999999999997,0.16847199999999998,0.13824343434343433,52.769734114111706,0.0004472493042174397,-0.0019008299268057445,27.567574901295114,0.07065455900509515
2025-08-13,0.1701,0.1716,0.1526,0.1591,3451361.3,0.17047142857142858,0.168136,0.13824343434343433,46.75722326682373,-0.00013450196997111252,-0.0019008299268057445,26.36282805220486,0.05937250567269687
2025-08-14,0.1584,0.161,0.1298,0.1387,2360490.8,0.16652857142857141,0.166676,0.13824343434343433,38.27799134447251,-0.0022161076466719054,-0.001963885470778977,25.17432019783076,0.0640515917437727
2025-08-15,0.1385,0.1436,0.1309,0.1346,687249.6,0.1619142857142857,0.164928,0.13824343434343433,36.8323018157784,-0.004148806024181939,-0.0024008695814595696,24.07070576162624,0.06406321556697515
2025-08-16,0.1354,0.1391,0.1329,0.1381,449916.7,0.15545714285714288,0.16316,0.13824343434343433,38.951963109804524,-0.005336546279790272,-0.0029880049211257103,23.045920928007753,0.06469314565960005
2025-08-17,0.1381,0.1431,0.1371,0.1382,636822.4,0.1493142857142857,0.16169999999999998,0.13824343434343433,39.01492990420753,-0.00619831945692173,-0.0036300678282849145,21.789793781711477,0.06461633364750884
2025-08-18,0.1384,0.1387,0.1278,0.1328,1003201.6,0.14455714285714286,0.15881599999999998,0.13824343434343433,36.807175228672,-0.007233630983655259,-0.004350780459358983,21.222140095542443,0.06435195801218817
2025-08-19,0.1328,0.1348,0.126,0.1264,631642.6,0.13827142857142857,0.15618,0.13824343434343433,34.327828788341805,-0.00847287926262133,-0.005175200220011453,20.806705073911814,0.06450085092651975
2025-08-20,0.127,0.1344,0.1263,0.1333,320829.6,0.13458571428571428,0.15403999999999998,0.13824343434343433,39.091445593796934,-0.008796815899844074,-0.005899523355977977,20.42094398239766,0.06462111789733845
2025-08-21,0.1331,0.1344,0.1273,0.1288,258312.0,0.13317142857142855,0.15183599999999997,0.13824343434343433,37.19646312448813,-0.00930933815521981,-0.0065814863158263435,20.062737254563093,0.06489912604109584
2025-08-22,0.1289,0.137,0.1218,0.136,841520.5,0.13337142857142856,0.15014,0.13824343434343433,42.03787911328688,-0.009030438632733895,-0.007071276779207854,20.121458142664142,0.06556614751865164
2025-08-23,0.1363,0.1541,0.1313,0.1515,2837734.5,0.1352857142857143,0.149412,0.13824343434343433,50.82620081560769,-0.007472549392806366,-0.007151531301927557,18.731190178379773,0.07037186937486466
2025-08-24,0.1515,0.1616,0.138,0.1434,7060709.9,0.13602857142857144,0.148652,0.13824343434343433,46.83019892936337,-0.006812977488101835,-0.007083820539162413,17.991139111256235,0.07094296149125963
2025-08-25,0.1434,0.147,0.126,0.1283,2163093.0,0.13538571428571428,0.147724,0.13824343434343433,40.44620548661287,-0.00742313650876808,-0.007151683733083546,17.021514409752893,0.07459653426364307
2025-08-26,0.1281,0.1375,0.127,0.1368,1679822.6,0.1368714285714286,0.14724,0.13824343434343433,44.99208842843824,-0.00713852449921859,-0.007149051886310555,16.121148615499788,0.07612583888446528
2025-08-27,0.1371,0.144,0.1295,0.1308,4922547.1,0.13651428571428573,0.146784,0.13824343434343433,42.52454130109638,-0.00731281965413888,-0.007181805439876221,15.168865988111776,0.06577415526117317
2025-08-28,0.1308,0.1427,0.1308,0.1382,2427658.9,0.13785714285714287,0.146608,0.13824343434343433,46.42701765132526,-0.006775725320767173,-0.0071005894160544114,14.284603548394335,0.06739171759671665
2025-08-29,0.1383,0.1383,0.12,0.1244,2668283.3,0.13620000000000002,0.14563199999999998,0.13824343434343433,40.855873632527114,-0.00737856337501136,-0.007156184207845801,13.926790613898055,0.06560808360518354
2025-08-30,0.1242,0.1266,0.1212,0.1229,684824.2,0.1321142857142857,0.14476,0.13824343434343433,40.28993798067217,-0.007886444319219615,-0.007302236230120564,13.594535746151509,0.06560548751612914
2025-08-31,0.1227,0.1248,0.1176,0.1178,945911.6,0.12845714285714285,0.143772,0.13824343434343433,38.345088918599444,-0.008601320337397383,-0.007562053051575928,13.56728963762888,0.06403245055522709
2025-09-01,0.1175,0.1185,0.1059,0.1089,2124361.5,0.1256857142857143,0.141476,0.13824343434343433,35.15582061539152,-0.009773359151213051,-0.008004314271503353,14.359529043082132,0.06463272429190019
