period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0076,0.0076,-0.2876,0.0184,0.5141,-0.4088
Weekly,0.0076,0.0076,-0.337,0.0376,0.5,-0.398
Biweekly,0.0588,0.0571,-0.337,0.0792,0.3846,-0.3815
Monthly,0.0124,0.0123,-0.3095,0.0402,0.4167,-0.3705
