period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0262,0.0258,0.3386,0.0175,0.552,-0.164
Weekly,0.1147,0.1086,0.3386,0.0667,0.6346,-0.1534
Biweekly,0.1618,0.1499,0.3386,0.0892,0.4615,-0.1534
Monthly,0.0262,0.0258,0.3165,0.0666,0.5833,-0.1476
