period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0266,0.0262,0.5866,0.0254,0.52,-0.188
Weekly,0.0266,0.0262,0.4605,0.0578,0.6346,-0.1765
Biweekly,0.0551,0.0537,0.4605,0.1027,0.6154,-0.1605
Monthly,-0.0051,-0.0051,0.5099,0.1411,0.5833,-0.13
