period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0066,-0.0067,0.3844,0.0162,0.54,-0.2027
Weekly,-0.0029,-0.0029,0.3844,0.0221,0.5385,-0.1847
Biweekly,0.0082,0.0082,0.3844,0.0592,0.7308,-0.16
Monthly,-0.0066,-0.0067,0.4176,0.0423,0.6667,-0.0978
