period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0041,-0.0041,0.3197,0.013,0.524,-0.0725
Weekly,0.0067,0.0067,0.4232,0.0183,0.5769,-0.0588
Biweekly,0.0096,0.0095,0.4232,0.0366,0.6538,-0.0487
Monthly,0.0171,0.017,0.3004,0.0358,0.75,-0.0387
