Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,ret_1d,ret_7d,ret_14d,ret_30d,cum_ret,vol_7d,vol_14d,vol_30d,mdd,win,loss,avg_ret,avg_up,avg_down,ret_w,ret_2w,ret_m,score,grade,level,ret_score,risk_score,stability_score,payoff,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
EURUSD,MATURE,1.15,Downward,-1,1.31,60,49.56,Neutral,-0.29,Low Risk,Safe,89.9,48.9,C+,Watchlist,Double Check,0.158266305,"WATCHLIST: Reference return -0.3%, Safety 89.9/100, Risk: Low Risk","Risk Reference Prices (Current: 1.15) | Lower Warning: 1.1, Lower Danger: 1.04, Upper Warning: 1.21, Upper Danger: 1.27",WATCHLIST,0.0005,-0.0012,0.0042,-0.0243,0.0512,0.0049,0.0051,0.0049,-0.0485,0.4766,0.5234,0.0002,0.0038,-0.0031,0.0048,-0.0026,-0.0023,46.3578,D,2,9.0706,28.8148,8.4724,1.2381,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,68.37,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
JPY,MATURE,0.01,Downward,-1,0.57,70,49.75,Neutral,0.0,Low Risk,Safe,82.1,43.4,C,Caution,Risk Mitigation,-0.910241614,"WATCHLIST: Reference return 0.0%, Safety 82.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.01) | Lower Warning: 0.01, Lower Danger: 0.01, Upper Warning: 0.01, Upper Danger: 0.01",WATCHLIST,-0.0013,-0.0019,-0.0037,-0.0335,-0.0893,0.0043,0.0055,0.0046,-0.1208,0.4727,0.5273,-0.0003,0.0045,-0.0047,0.0034,-0.0111,-0.007,38.112,E,1,5.7644,26.3364,6.0112,0.9608,Safe,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Strong,63.66,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
GBPUSD,MATURE,1.32,Downward,-1,-1.19,55,49.61,Neutral,-0.4,Low Risk,Safe,88.8,25.5,D,Underweight,Conservative Allocation,-0.180953326,"WATCHLIST: Reference return -0.4%, Safety 88.8/100, Risk: Low Risk","Risk Reference Prices (Current: 1.32) | Lower Warning: 1.26, Lower Danger: 1.19, Upper Warning: 1.39, Upper Danger: 1.46",WATCHLIST,0.0004,-0.0096,-0.0059,-0.022,0.0251,0.005,0.0061,0.0052,-0.0528,0.5,0.5,0.0001,0.0036,-0.0034,-0.0002,-0.0142,-0.0006,44.0602,D,2,7.3992,28.7301,7.931,1.0627,Safe,Acceptable,Conservative,Defensive Hold,Core Allocation,Low Risk | Safe | Acceptable,53.97,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
AUDUSD,MATURE,0.69,Upward,1,-0.76,45,51.28,Neutral,0.04,Low Risk,Safe,88.4,27.2,D,Underweight,Conservative Allocation,1.179502719,"WATCHLIST: Reference return 0.0%, Safety 88.4/100, Risk: Low Risk","Risk Reference Prices (Current: 0.69) | Lower Warning: 0.66, Lower Danger: 0.62, Upper Warning: 0.73, Upper Danger: 0.76",WATCHLIST,0.0008,-0.0037,-0.0214,-0.0273,0.1552,0.006,0.0066,0.0073,-0.0397,0.5391,0.4609,0.0006,0.0046,-0.0041,0.0096,-0.0232,-0.0005,51.1252,D,2,12.0921,28.9038,10.1293,1.1171,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,54.08,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
NZDUSD,MATURE,0.57,Downward,-1,-2.73,30,50.04,Neutral,-0.23,Low Risk,Safe,84.6,12.9,D,Underweight,Conservative Allocation,-0.060234819,"WATCHLIST: Reference return -0.2%, Safety 84.6/100, Risk: Low Risk","Risk Reference Prices (Current: 0.57) | Lower Warning: 0.54, Lower Danger: 0.51, Upper Warning: 0.6, Upper Danger: 0.63",WATCHLIST,-0.0006,-0.0159,-0.0238,-0.0483,0.0312,0.0048,0.0062,0.0067,-0.0834,0.5039,0.4961,0.0001,0.0046,-0.0044,-0.0024,-0.0262,-0.0073,42.0448,D,2,6.1478,27.9259,7.9711,1.0467,Safe,Weak,Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Safe | Weak,41.16,"Suitable for lower-risk investors seeking relatively stable core exposure. Current profile is only suitable for tactical, high-risk participation."
EURJPY,MATURE,184.29,Upward,1,3.07,80,48.65,Neutral,0.09,Low Risk,Safe,94.5,60.6,B,Attention,Opportunity Confirmation,1.609310959,"ATTENTION: Reference return 0.1%, Safety 94.5/100, Risk: Low Risk","Risk Reference Prices (Current: 184.29) | Lower Warning: 175.08, Lower Danger: 165.86, Upper Warning: 193.51, Upper Danger: 202.72",ATTENTION,0.0013,0.0001,0.0073,0.0089,0.1538,0.0026,0.0028,0.0031,-0.0268,0.5273,0.4727,0.0006,0.0035,-0.0027,0.0009,0.008,0.0044,54.9398,D,2,14.6156,29.1645,11.1597,1.2957,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,80.79,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
GBPJPY,MATURE,211.3,Upward,1,-0.41,35,48.12,Neutral,0.16,Low Risk,Safe,93.8,29.2,D,Underweight,Conservative Allocation,1.07997107,"WATCHLIST: Reference return 0.2%, Safety 93.8/100, Risk: Low Risk","Risk Reference Prices (Current: 211.30) | Lower Warning: 200.73, Lower Danger: 190.17, Upper Warning: 221.86, Upper Danger: 232.43",WATCHLIST,0.0016,-0.0079,-0.0025,0.0116,0.1255,0.0041,0.0031,0.0037,-0.0297,0.5586,0.4414,0.0005,0.0035,-0.0034,-0.0038,-0.0034,0.0065,51.9209,D,2,12.5167,29.1168,10.2874,1.0378,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,55.63,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
EURGBP,MATURE,0.87,Downward,-1,3.46,75,49.94,Neutral,0.09,Low Risk,Safe,94.1,60.2,B,Attention,Opportunity Confirmation,-0.313823442,"WATCHLIST: Reference return 0.1%, Safety 94.1/100, Risk: Low Risk","Risk Reference Prices (Current: 0.87) | Lower Warning: 0.83, Lower Danger: 0.78, Upper Warning: 0.92, Upper Danger: 0.96",WATCHLIST,-0.0002,0.0081,0.0099,-0.0026,0.0252,0.0026,0.0026,0.0025,-0.0352,0.5078,0.4922,0.0001,0.0022,-0.002,0.0047,0.0114,-0.002,47.2943,D,2,9.9091,29.0669,8.3183,1.0679,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,80.89,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
EURCAD,MATURE,1.61,Downward,-1,3.75,75,49.46,Neutral,0.04,Low Risk,Safe,91.3,59.8,B,Attention,Opportunity Confirmation,-0.205920466,"WATCHLIST: Reference return 0.0%, Safety 91.3/100, Risk: Low Risk","Risk Reference Prices (Current: 1.61) | Lower Warning: 1.53, Lower Danger: 1.44, Upper Warning: 1.69, Upper Danger: 1.77",WATCHLIST,-0.0003,0.0056,0.0202,-0.006,0.0264,0.0033,0.0042,0.0045,-0.0462,0.5352,0.4609,0.0001,0.0026,-0.0028,0.0051,0.0097,-0.002,47.589,D,2,10.2264,28.8616,8.501,0.9334,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,80.47,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
EURSEK,MATURE,10.91,Upward,1,1.64,90,50.64,Neutral,0.16,Low Risk,Safe,88.5,57.1,B,Attention,Opportunity Confirmation,-0.809631237,"WATCHLIST: Reference return 0.2%, Safety 88.5/100, Risk: Low Risk","Risk Reference Prices (Current: 10.91) | Lower Warning: 10.36, Lower Danger: 9.82, Upper Warning: 11.45, Upper Danger: 12.0",WATCHLIST,0.0045,0.009,0.0165,0.024,-0.0081,0.0042,0.0038,0.0042,-0.07,0.4844,0.5156,0.0,0.0029,-0.0027,0.0016,0.0144,-0.0024,46.3458,D,2,10.8487,28.3673,7.1298,1.0455,Safe,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Strong,75.77,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
