period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0002,0.0002,-0.0645,0.0141,0.496,-0.2593
Weekly,0.0002,0.0002,-0.0444,0.0397,0.5769,-0.2282
Biweekly,0.0654,0.0634,-0.0444,0.0416,0.4615,-0.2182
Monthly,-0.001,-0.001,-0.0602,0.0558,0.5,-0.188
