period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0208,0.0206,-0.2694,0.0272,0.49,-0.4137
Weekly,0.0208,0.0206,-0.2454,0.0414,0.4231,-0.3987
Biweekly,-0.0344,-0.035,-0.2454,0.0776,0.3846,-0.3862
Monthly,-0.0495,-0.0507,-0.2178,0.1018,0.5833,-0.3438
