period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0069,-0.0069,0.0761,0.0138,0.5261,-0.1814
Weekly,-0.0069,-0.0069,0.0347,0.0353,0.5,-0.165
Biweekly,0.0388,0.0381,0.0347,0.0426,0.5769,-0.1424
Monthly,0.0175,0.0173,0.0171,0.0515,0.5833,-0.165
