period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.012,-0.0121,-0.0272,0.0138,0.496,-0.2349
Weekly,-0.0398,-0.0407,-0.0272,0.0212,0.4808,-0.2287
Biweekly,-0.0718,-0.0745,-0.0272,0.0398,0.5,-0.2287
Monthly,-0.012,-0.0121,-0.0053,0.0386,0.5,-0.2287
