period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0139,-0.014,0.167,0.0135,0.504,-0.1147
Weekly,-0.0248,-0.0251,0.167,0.0305,0.5962,-0.1045
Biweekly,-0.0446,-0.0457,0.167,0.0411,0.5385,-0.1045
Monthly,-0.0139,-0.014,0.1798,0.0406,0.5833,-0.0623
