period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.026,0.0256,0.7997,0.0248,0.584,-0.1833
Weekly,0.026,0.0256,0.7096,0.0574,0.5577,-0.1773
Biweekly,0.1267,0.1193,0.7096,0.1129,0.5769,-0.1647
Monthly,0.0171,0.017,0.5958,0.1035,0.8333,-0.1614
