period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0136,-0.0137,0.5907,0.0252,0.516,-0.158
Weekly,-0.0136,-0.0137,0.5822,0.0364,0.5962,-0.1332
Biweekly,-0.0117,-0.0117,0.5822,0.0423,0.6538,-0.1293
Monthly,-0.0195,-0.0197,0.4442,0.0786,0.6667,-0.0655
