period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0023,0.0023,-0.0285,0.0146,0.4819,-0.188
Weekly,0.0023,0.0023,-0.0422,0.0166,0.5,-0.1847
Biweekly,0.0176,0.0174,-0.0422,0.0815,0.4615,-0.1677
Monthly,0.0113,0.0112,-0.1027,0.0951,0.5,-0.1632
