period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0084,-0.0084,0.1061,0.0158,0.548,-0.1964
Weekly,0.01,0.0099,0.1654,0.0204,0.5385,-0.1906
Biweekly,-0.0075,-0.0075,0.1654,0.0305,0.5769,-0.1748
Monthly,-0.0142,-0.0143,0.0515,0.0497,0.5833,-0.1678
