period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0089,-0.009,0.1057,0.0118,0.512,-0.1449
Weekly,0.0031,0.0031,0.1737,0.0231,0.5769,-0.1399
Biweekly,0.0084,0.0084,0.1737,0.0418,0.5769,-0.1264
Monthly,-0.008,-0.008,0.1035,0.0914,0.5833,-0.1059
