Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility
2023-04-20,38.2,38.9,36.8,37.9,7189.418,41.142857142857146,39.028,33.15191919191919,41.04760768081577,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-21,37.8,38.4,35.7,36.6,5320.473,40.34285714285714,39.028,33.15191919191919,35.711844529656446,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-22,36.6,37.9,36.3,37.8,4198.777,39.614285714285714,39.028,33.15191919191919,43.06855218522025,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-23,37.7,37.8,35.7,37.0,3197.512,38.800000000000004,39.028,33.15191919191919,39.798792374575676,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-24,37.0,37.6,36.0,36.9,3518.846,38.128571428571426,39.028,33.15191919191919,39.396164152145076,-0.33858527095488,-0.5504805755321794,0.0,0.030679375397719616
2023-04-25,36.9,37.5,35.7,37.4,3216.667,37.39999999999999,39.028,33.15191919191919,42.52694924863114,-0.33858527095488,-0.5504805755321794,0.0,0.030786851748859555
2023-04-26,37.4,39.2,34.8,36.5,9156.62,37.15714285714286,39.028,33.15191919191919,38.65592085790151,-0.33858527095488,-0.5504805755321794,0.0,0.031205472699974198
2023-04-27,36.5,38.6,36.3,38.1,8209.285,37.18571428571429,39.028,33.15191919191919,47.759846976623614,-0.33858527095488,-0.5504805755321794,0.0,0.03278877950859417
2023-04-28,38.2,38.3,37.3,37.8,3392.914,37.357142857142854,39.028,33.15191919191919,46.37027297171293,-0.33858527095488,-0.5504805755321794,0.0,0.03249109939192524
2023-04-29,37.8,38.6,37.6,38.5,4085.99,37.457142857142856,39.06,33.15191919191919,50.02404404573405,-0.33858527095488,-0.5504805755321794,0.0,0.03196304571990767
2023-04-30,38.6,38.6,37.4,37.6,3036.273,37.54285714285714,39.044,33.15191919191919,45.71189171874155,-0.3575485634617479,-0.5504805755321794,0.0,0.0323447783865408
2023-05-01,37.6,38.0,36.1,36.5,8323.339,37.48571428571428,38.996,33.15191919191919,41.05384352445867,-0.4560805041612994,-0.5504805755321794,9.945699693751731,0.032818610924930984
2023-05-02,36.4,37.0,36.2,36.8,3310.158,37.4,38.96,33.15191919191919,42.76676069648782,-0.5041487710437238,-0.5504805755321794,10.094173178590955,0.03291989158482496
2023-05-03,36.7,37.2,36.1,37.0,4662.041,37.471428571428575,38.9,33.15191919191919,43.93640876653911,-0.5201093930052352,-0.5504805755321794,10.039652675628203,0.031737039019738095
2023-05-04,37.0,37.1,36.2,36.4,2717.369,37.228571428571435,38.768,33.15191919191919,41.21515080313672,-0.5745502290946831,-0.5504805755321794,9.98902649430565,0.03106468245727244
2023-05-05,36.4,37.7,36.3,37.1,5122.556,37.128571428571426,38.672000000000004,33.15191919191919,45.45936070342284,-0.5548152690041448,-0.5504805755321794,9.339165159961608,0.031175251480456623
2023-05-06,37.1,37.4,35.3,35.9,6537.199,36.75714285714286,38.516,33.15191919191919,40.11271514649432,-0.6287572202835889,-0.5504805755321794,9.597230243929674,0.03168754839584567
2023-05-07,35.9,36.1,35.1,35.1,4139.801,36.4,38.328,33.15191919191919,36.98931395652014,-0.7433412878639629,-0.5504805755321794,9.99567371976155,0.03159521037288898
2023-05-08,35.3,35.5,31.5,33.1,9549.492,35.91428571428572,38.004,33.15191919191919,30.57882449786149,-0.9841881637418766,-0.6372220931741189,12.3721010382348,0.03259270948438339
2023-05-09,33.1,33.3,32.5,33.2,4129.86,35.4,37.644,33.15191919191919,31.220665666380626,-1.1536928310109928,-0.7405162407414937,14.57878354824567,0.025019026829131825
2023-05-10,33.2,34.0,31.6,33.4,5168.686,34.885714285714286,37.263999999999996,33.15191919191919,32.563569337655125,-1.2573937203983476,-0.8438917366728645,16.982858690027545,0.025177030897485058
2023-05-11,33.3,33.3,31.4,32.5,3795.498,34.32857142857143,36.856,33.15191919191919,29.748736463998114,-1.3961064545861817,-0.954334680255528,19.291139815886407,0.02479264763498742
2023-05-12,32.6,33.1,31.6,33.1,4458.584,33.75714285714285,36.516,33.15191919191919,33.85379156866148,-1.4410112297522986,-1.051669990154882,21.434543718469634,0.023811910788430028
2023-05-13,33.0,33.1,32.3,32.6,2186.587,33.285714285714285,36.12,33.15191919191919,32.16693568786317,-1.4996572931473864,-1.1412674507533829,23.424847342296918,0.023651476508864795
