Date,Open,High,Low,Close,Volume,MA7,MA25,MA99,RSI,MACD,MACD_signal,ADX,Volatility,returns
2025-09-18,1.142e-05,1.166e-05,1.121e-05,1.145e-05,13024006348952.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,
2025-09-19,1.144e-05,1.15e-05,1.066e-05,1.076e-05,8763516985545.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.06026200873362442
2025-09-20,1.075e-05,1.085e-05,1.054e-05,1.072e-05,6248655012490.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.0037174721189591198
2025-09-21,1.072e-05,1.079e-05,1.039e-05,1.041e-05,5451446907983.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.028917910447761264
2025-09-22,1.041e-05,1.048e-05,9.35e-06,9.66e-06,18737303161879.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.07204610951008639
2025-09-23,9.66e-06,9.84e-06,9.41e-06,9.57e-06,8327840207519.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.009316770186335477
2025-09-24,9.56e-06,9.85e-06,9.32e-06,9.64e-06,6312684816539.0,1.0315714285714286e-05,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.007314524555903867
2025-09-25,9.64e-06,9.67e-06,8.86e-06,9.07e-06,14302676089628.0,9.975714285714286e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.0591286307053942
2025-09-26,9.07e-06,9.47e-06,9.03e-06,9.37e-06,9406093662147.0,9.777142857142858e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.03307607497243659
2025-09-27,9.37e-06,9.44e-06,9.2e-06,9.23e-06,3388308331976.0,9.564285714285715e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.014941302027748127
2025-09-28,9.24e-06,9.47e-06,9.03e-06,9.43e-06,3785629544008.0,9.424285714285713e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.021668472372697645
2025-09-29,9.43e-06,9.51e-06,9.09e-06,9.39e-06,5708082913201.0,9.385714285714285e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.0042417815482502785
2025-09-30,9.39e-06,9.43e-06,8.97e-06,9.31e-06,7044300680399.0,9.348571428571429e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.008519701810436597
2025-10-01,9.32e-06,9.8e-06,9.23e-06,9.77e-06,8642799167633.0,9.367142857142857e-06,9.482e-06,6.398080808080808e-06,37.278434515099,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.04940923737916214
2025-10-02,9.78e-06,1.034e-05,9.75e-06,1.021e-05,10754289894367.0,9.53e-06,9.482e-06,6.398080808080808e-06,47.87504501107266,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.045035823950870135
2025-10-03,1.021e-05,1.04e-05,9.85e-06,1.011e-05,10150394691103.0,9.635714285714286e-06,9.482e-06,6.398080808080808e-06,45.973991676260724,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.009794319294809117
2025-10-04,1.011e-05,1.023e-05,9.55e-06,9.76e-06,7740463922631.0,9.71142857142857e-06,9.482e-06,6.398080808080808e-06,39.988822268266325,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.034619188921859556
2025-10-05,9.76e-06,1.019e-05,9.68e-06,9.8e-06,8623185263951.0,9.764285714285713e-06,9.482e-06,6.398080808080808e-06,40.935210916609165,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.004098360655737654
2025-10-06,9.8e-06,1.037e-05,9.67e-06,1.02e-05,10258403147006.0,9.879999999999999e-06,9.482e-06,6.398080808080808e-06,49.510067176163176,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.04081632653061229
2025-10-07,1.02e-05,1.026e-05,9.43e-06,9.46e-06,10598541880650.0,9.901428571428572e-06,9.482e-06,6.398080808080808e-06,38.402596167225326,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,-0.07254901960784332
2025-10-08,9.47e-06,9.75e-06,9.23e-06,9.56e-06,8510480914185.0,9.871428571428572e-06,9.482e-06,6.398080808080808e-06,40.3501262086021,-7.728169438401116e-07,-8.613526942189405e-07,0.0,0.03743696515169611,0.010570824524313016
