period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0531,0.0517,-0.0373,0.0151,0.52,-0.1698
Weekly,0.0483,0.0472,-0.0373,0.0398,0.5,-0.1637
Biweekly,0.0011,0.0011,-0.0373,0.0387,0.5,-0.1637
Monthly,0.0531,0.0517,-0.0484,0.0607,0.5,-0.1247
