period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.002,-0.002,-0.0974,0.0041,0.438,-0.1361
Weekly,0.0026,0.0026,-0.0902,0.0111,0.4038,-0.1217
Biweekly,0.0232,0.023,-0.0902,0.0147,0.3462,-0.1138
Monthly,-0.0046,-0.0046,-0.0659,0.0306,0.1667,-0.0893
