period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0134,0.0134,0.7758,0.0308,0.552,-0.3781
Weekly,0.0377,0.0371,1.0059,0.0401,0.5192,-0.3445
Biweekly,-0.0147,-0.0148,1.0059,0.0925,0.5385,-0.3254
Monthly,0.0149,0.0148,0.2535,0.1052,0.6667,-0.3157
