period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0297,-0.0302,-0.3604,0.0188,0.448,-0.4882
Weekly,-0.036,-0.0366,-0.3604,0.0474,0.4615,-0.464
Biweekly,-0.0795,-0.0829,-0.3604,0.0709,0.5,-0.4363
Monthly,-0.0297,-0.0302,-0.3415,0.0826,0.4167,-0.4356
