period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0017,0.0017,0.1821,0.0105,0.508,-0.0981
Weekly,0.0128,0.0128,0.2285,0.0148,0.5962,-0.0913
Biweekly,0.0141,0.014,0.2285,0.0375,0.6154,-0.0795
Monthly,0.0104,0.0104,0.1262,0.0906,0.5833,-0.0854
