Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,ret_1d,ret_7d,ret_14d,ret_30d,cum_ret,vol_7d,vol_14d,vol_30d,mdd,win,loss,avg_ret,avg_up,avg_down,ret_w,ret_2w,ret_m,score,grade,level,ret_score,risk_score,stability_score,payoff,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
MMM,MATURE,141.56,Downward,-1,-1.58,10,42.74,Neutral,-1.45,Low Risk,Mediate,65.3,8.3,D,Underweight,Conservative Allocation,0.069245883,"WATCHLIST: Reference return -1.5%, Safety 65.3/100, Risk: Low Risk","Risk Reference Prices (Current: 141.56) | Lower Warning: 134.48, Lower Danger: 127.4, Upper Warning: 148.64, Upper Danger: 155.72",WATCHLIST,-0.0066,-0.0226,-0.072,0.0025,0.0239,0.015,0.0152,0.0162,-0.1877,0.512,0.484,0.0002,0.0124,-0.0126,-0.0066,-0.0303,-0.0339,34.6269,E,1,6.2165,20.5968,7.8136,0.9811,Defensive,Fragile,Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Defensive | Fragile,32.17,"Suitable for lower-risk investors seeking relatively stable core exposure. Current profile is only suitable for tactical, high-risk participation."
AOS,MATURE,58.86,Downward,-1,-1.39,30,40.09,Neutral,-1.9,Low Risk,Mediate,53.2,10.6,D,Underweight,Conservative Allocation,-0.538421158,"WATCHLIST: Reference return -1.9%, Safety 53.2/100, Risk: Low Risk","Risk Reference Prices (Current: 58.86) | Lower Warning: 55.92, Lower Danger: 52.97, Upper Warning: 61.8, Upper Danger: 64.75",WATCHLIST,-0.0247,-0.0906,-0.1156,-0.0764,-0.1206,0.0113,0.019,0.0197,-0.2644,0.472,0.528,-0.0004,0.0124,-0.0118,-0.0247,-0.0805,-0.0482,21.2625,E,1,1.0703,13.513,6.6792,1.0497,Defensive,Weak,Moderately Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Defensive | Weak,31.83,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile is only suitable for tactical, high-risk participation."
ABT,MATURE,87.54,Downward,-1,-1.86,40,41.0,Neutral,-1.42,Low Risk,Mediate,45.0,8.5,D,Underweight,Conservative Allocation,-1.736980042,"WATCHLIST: Reference return -1.4%, Safety 45.0/100, Risk: Low Risk","Risk Reference Prices (Current: 87.54) | Lower Warning: 83.16, Lower Danger: 78.79, Upper Warning: 91.92, Upper Danger: 96.29",WATCHLIST,-0.0215,-0.0534,-0.1283,-0.1647,-0.3263,0.0168,0.0218,0.0167,-0.3531,0.476,0.524,-0.0015,0.009,-0.0109,-0.0215,-0.0394,-0.0358,16.0882,E,1,0.6415,10.2418,5.2049,0.8193,Caution,Fragile,Moderately Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Caution | Fragile,28.75,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile is only suitable for tactical, high-risk participation."
ABBV,MATURE,208.16,Downward,-1,0.91,50,47.09,Neutral,-0.79,Low Risk,Mediate,65.5,38.7,C,Caution,Risk Mitigation,0.334777775,"WATCHLIST: Reference return -0.8%, Safety 65.5/100, Risk: Low Risk","Risk Reference Prices (Current: 208.16) | Lower Warning: 197.75, Lower Danger: 187.34, Upper Warning: 218.57, Upper Danger: 228.98",WATCHLIST,0.0076,0.0359,-0.0018,0.0235,0.0962,0.0218,0.0178,0.0165,-0.1732,0.512,0.484,0.0005,0.0116,-0.0113,0.0076,0.0476,-0.015,45.5382,D,2,15.3575,21.9806,8.2001,1.0306,Defensive,Acceptable,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Acceptable,54.02,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
ACN,MATURE,180.12,Downward,-1,-2.81,20,49.41,Neutral,-2.7,Low Risk,Caution,29.6,-0.4,D,Underweight,Conservative Allocation,-1.52233314,"WATCHLIST: Reference return -2.7%, Safety 29.6/100, Risk: Low Risk","Risk Reference Prices (Current: 180.12) | Lower Warning: 171.11, Lower Danger: 162.11, Upper Warning: 189.13, Upper Danger: 198.13",WATCHLIST,0.0016,0.0103,-0.0538,-0.0917,-0.4067,0.008,0.0205,0.0236,-0.4451,0.472,0.524,-0.0019,0.0141,-0.0162,0.0016,0.0099,0.0079,18.3992,E,1,3.9889,9.0692,5.3411,0.8669,Caution,Fragile,Moderately Conservative,Avoid / Too Fragile,Core Allocation,Low Risk | Caution | Fragile,16.16,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile appears too fragile for normal allocation."
ADBE,MATURE,253.96,Downward,-1,1.18,65,53.25,Neutral,-1.58,Low Risk,Caution,23.8,36.3,C,Caution,Risk Mitigation,-1.26705645,"WATCHLIST: Reference return -1.6%, Safety 23.8/100, Risk: Low Risk","Risk Reference Prices (Current: 253.96) | Lower Warning: 241.26, Lower Danger: 228.56, Upper Warning: 266.66, Upper Danger: 279.36",WATCHLIST,0.013,0.0627,0.0774,0.0234,-0.3335,0.0168,0.0272,0.0263,-0.4643,0.496,0.5,-0.0014,0.013,-0.0158,0.013,0.0347,0.0319,32.3694,E,1,17.5069,8.799,6.0635,0.8261,Risky,Acceptable,Moderately Conservative,Watch / DCA Only,Core Allocation,Low Risk | Risky | Acceptable,42.24,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current weakness suggests observation or gradual accumulation only."
AMD,MATURE,341.54,Upward,1,3.11,75,67.69,Bullish,3.38,Low Risk,Caution,28.7,54.7,C+,Watchlist,Double Check,2.269311072,"ATTENTION: Reference return 3.4%, Safety 28.7/100, Risk: Low Risk","Risk Reference Prices (Current: 341.54) | Lower Warning: 324.46, Lower Danger: 307.39, Upper Warning: 358.62, Upper Danger: 375.69",ATTENTION,-0.0527,0.1186,0.339,0.6964,2.3954,0.0674,0.0516,0.0424,-0.2776,0.556,0.444,0.0056,0.0288,-0.0235,-0.0527,-0.018,-0.0365,71.3514,C,3,49.5675,9.9668,11.8171,1.2288,Caution,Strong,Moderately Conservative,Selective Exposure,Core Allocation,Low Risk | Caution | Strong,57.25,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current setup allows selective exposure under controlled sizing."
AES,MATURE,14.28,Downward,-1,2.89,65,45.93,Neutral,0.03,Low Risk,Safe,74.4,52.7,C+,Watchlist,Double Check,0.96731581,"WATCHLIST: Reference return 0.0%, Safety 74.4/100, Risk: Low Risk","Risk Reference Prices (Current: 14.28) | Lower Warning: 13.57, Lower Danger: 12.85, Upper Warning: 14.99, Upper Danger: 15.71",WATCHLIST,0.0,-0.003,0.0039,0.0253,0.4634,0.0008,0.002,0.0031,-0.2327,0.516,0.444,0.0019,0.0179,-0.0164,0.0,-0.0023,0.0004,47.5876,D,2,22.1002,16.6147,8.8726,1.0904,Defensive,Strong,Conservative,Defensive Hold,Core Allocation,Low Risk | Defensive | Strong,68.42,Suitable for lower-risk investors seeking relatively stable core exposure. Current conditions suggest a defensive stance rather than active accumulation.
AFL,MATURE,113.33,Upward,1,1.28,75,49.66,Neutral,0.02,Low Risk,Safe,80.0,49.8,C+,Watchlist,Double Check,0.391504263,"WATCHLIST: Reference return 0.0%, Safety 80.0/100, Risk: Low Risk","Risk Reference Prices (Current: 113.33) | Lower Warning: 107.66, Lower Danger: 102.0, Upper Warning: 119.0, Upper Danger: 124.66",WATCHLIST,0.004,-0.0155,0.0124,0.0669,0.0949,0.011,0.0095,0.0105,-0.0911,0.508,0.492,0.0004,0.0085,-0.008,0.004,-0.0113,-0.003,51.4422,D,2,15.5279,27.5572,8.3572,1.0716,Safe,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Strong,67.36,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
A,MATURE,112.18,Downward,-1,-1.01,45,49.74,Neutral,-1.44,Low Risk,Mediate,48.5,16.8,D,Underweight,Conservative Allocation,0.15626017,"WATCHLIST: Reference return -1.4%, Safety 48.5/100, Risk: Low Risk","Risk Reference Prices (Current: 112.18) | Lower Warning: 106.57, Lower Danger: 100.96, Upper Warning: 117.79, Upper Danger: 123.4",WATCHLIST,-0.0204,-0.0196,-0.0682,0.0102,0.0437,0.0224,0.0227,0.0196,-0.2975,0.504,0.496,0.0003,0.014,-0.0136,-0.0204,-0.0292,-0.0292,26.838,E,1,7.2832,11.6824,7.8724,1.0341,Caution,Weak,Moderately Conservative,Watch / DCA Only,Core Allocation,Low Risk | Caution | Weak,36.21,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current weakness suggests observation or gradual accumulation only."
APD,MATURE,298.35,Upward,1,0.97,65,52.12,Neutral,0.76,Low Risk,Mediate,68.0,44.7,C,Caution,Risk Mitigation,0.443384186,"WATCHLIST: Reference return 0.8%, Safety 68.0/100, Risk: Low Risk","Risk Reference Prices (Current: 298.35) | Lower Warning: 283.43, Lower Danger: 268.52, Upper Warning: 313.27, Upper Danger: 328.19",WATCHLIST,-0.009,-0.0175,0.0058,0.0684,0.1254,0.0054,0.0106,0.0101,-0.2239,0.5,0.5,0.0006,0.0113,-0.0101,-0.009,-0.0113,-0.0057,42.1626,D,2,16.5136,17.2591,8.3898,1.1172,Defensive,Strong,Conservative,Selective Exposure,Core Allocation,Low Risk | Defensive | Strong,59.6,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
