period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0219,-0.0222,-0.1581,0.0268,0.476,-0.3377
Weekly,0.0413,0.0405,-0.1335,0.0513,0.4615,-0.334
Biweekly,-0.0254,-0.0258,-0.1335,0.0692,0.5,-0.3064
Monthly,-0.0204,-0.0207,-0.1598,0.1378,0.4167,-0.2474
