period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0119,0.0118,1.678,0.034,0.5663,-0.2137
Weekly,0.0119,0.0118,1.4546,0.0452,0.6154,-0.1855
Biweekly,0.0458,0.0448,1.4546,0.0622,0.6538,-0.1561
Monthly,0.0317,0.0312,1.3607,0.1465,0.75,-0.1193
