period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0248,-0.0251,0.989,0.0241,0.532,-0.1918
Weekly,-0.0313,-0.0318,0.989,0.068,0.5577,-0.1918
Biweekly,-0.0271,-0.0275,0.989,0.0625,0.5769,-0.1604
Monthly,-0.0248,-0.0251,0.8825,0.0828,0.75,-0.1452
