period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.031,0.0305,-0.0159,0.0151,0.528,-0.2253
Weekly,0.0675,0.0653,0.052,0.0504,0.5192,-0.213
Biweekly,0.0287,0.0283,0.052,0.0746,0.5769,-0.213
Monthly,0.0362,0.0356,-0.0183,0.061,0.5833,-0.2063
