period,ret,log_ret,cum_ret,vol,win,mdd
Daily,-0.0074,-0.0074,0.2651,0.0112,0.504,-0.0696
Weekly,-0.0074,-0.0074,0.2804,0.0265,0.5385,-0.0641
Biweekly,0.0309,0.0304,0.2804,0.0359,0.5385,-0.0542
Monthly,0.0322,0.0317,0.2539,0.0427,0.6667,-0.0398
