period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.1893,0.1734,-0.0965,0.0396,0.464,-0.3063
Weekly,0.2214,0.2,-0.0514,0.1369,0.4038,-0.2941
Biweekly,0.1716,0.1584,-0.0514,0.1243,0.4615,-0.2642
Monthly,0.1855,0.1702,-0.143,0.1443,0.3333,-0.2543
