period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0105,0.0104,0.0178,0.0035,0.5292,-0.0852
Weekly,0.0005,0.0005,0.0211,0.0048,0.5962,-0.04
Biweekly,0.001,0.001,0.0211,0.0054,0.5769,-0.0383
Monthly,0.0105,0.0105,0.0164,0.0051,0.5,-0.0319
