period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0253,0.025,-0.1178,0.0116,0.516,-0.1771
Weekly,0.0506,0.0493,-0.0503,0.0457,0.5,-0.1741
Biweekly,0.0463,0.0452,-0.0503,0.0554,0.3846,-0.1706
Monthly,0.0317,0.0312,-0.0784,0.0506,0.4167,-0.1369
