period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0119,0.0118,-0.1351,0.0153,0.5,-0.2084
Weekly,0.0272,0.0268,-0.0751,0.041,0.4808,-0.1939
Biweekly,-0.0478,-0.0489,-0.0751,0.072,0.3846,-0.1939
Monthly,-0.0035,-0.0035,-0.0794,0.0401,0.3333,-0.175
