period,ret,log_ret,cum_ret,vol,win,mdd
Daily,0.0029,0.0029,-0.1988,0.0207,0.496,-0.2851
Weekly,0.033,0.0324,-0.1988,0.0337,0.4808,-0.2632
Biweekly,-0.0081,-0.0082,-0.1988,0.0222,0.4231,-0.2604
Monthly,0.0029,0.0029,-0.1797,0.0755,0.3333,-0.2166
